binga,-17.6203,27.3414,72.41,88,87,1.95,ZW,1612739655
kapaa,22.0752,-159.319,77,56,1,5.75,US,1612739656
belushya guba,nan,nan,nan,nan,nan,nan,nan,nan
mataura,-46.1927,168.8643,70.77,44,99,2.95,NZ,1612739433
kalga,50.9251,118.898,-17.86,81,10,2.48,RU,1612739657
pevek,69.7008,170.3133,-6.18,85,0,3.29,RU,1612739657
taoudenni,22.6783,-3.9836,60.4,32,0,7.76,ML,1612739658
santa barbara,34.7333,-120.0343,71.01,43,1,9.22,US,1612739488
kruisfontein,-34.0033,24.7314,64.99,92,81,3,ZA,1612739659
waitati,-45.75,170.5667,61,88,91,1.01,NZ,1612739659
riyadh,24.6877,46.7219,57.2,72,0,9.22,SA,1612739660
tougan,13.0667,-3.0667,80.49,17,60,16.04,BF,1612739660
chuy,-33.6971,-53.4616,67.32,74,41,9.06,UY,1612739661
sept-iles,50.2001,-66.3821,19.4,68,38,5.75,CA,1612739365
shingu,33.7333,135.9833,48.2,61,40,6.91,JP,1612739431
nakhon si thammarat,8.25,100,74.01,88,76,0.13,TH,1612739662
hobart,-42.8794,147.3294,60.8,51,75,17.27,AU,1612739662
port alfred,-33.5906,26.891,66,95,99,3,ZA,1612739663
carutapera,-1.195,-46.02,77.11,91,2,7.25,BR,1612739663
east london,-33.0153,27.9116,71.71,84,94,10.65,ZA,1612739664
pisco,-13.7,-76.2167,73.4,78,75,9.22,PE,1612739664
narsaq,60.9167,-46.05,37.4,30,20,40.29,GL,1612739664
bafra,41.5678,35.9069,44.6,93,75,3.44,TR,1612739665
georgetown,5.4112,100.3354,80.6,83,20,6.08,MY,1612739665
dikson,73.5069,80.5464,-32.19,85,65,16.06,RU,1612739435
richards bay,-28.783,32.0377,74.39,94,92,5.35,ZA,1612739666
koumac,-20.5667,164.2833,83.16,62,46,3.53,NC,1612739667
fort madison,40.6298,-91.3151,1.4,78,1,4.61,US,1612739667
mar del plata,-38.0023,-57.5575,61,94,90,14.97,AR,1612739668
pingliang,35.5392,106.6861,30.96,81,0,1.5,CN,1612739668
hasaki,35.7333,140.8333,37.4,70,75,1.14,JP,1612739550
arraial do cabo,-22.9661,-42.0278,71.6,94,75,4.61,BR,1612739479
palana,59.1167,159.9667,14.25,90,36,30.4,RU,1612739669
saldanha,-33.0117,17.9442,62.6,72,0,13.8,ZA,1612739434
kodiak,57.79,-152.4072,35.6,55,1,3.44,US,1612739670
san anselmo,37.9747,-122.5616,68,40,1,2.19,US,1612739671
ambon,-3.6954,128.1814,78.8,89,40,5.75,ID,1612739671
roald,62.5833,6.1333,23,54,0,9.22,NO,1612739672
tual,-5.6667,132.75,83.7,78,100,18.19,ID,1612739672
sentyabrskiy,nan,nan,nan,nan,nan,nan,nan,nan
castro,-24.7911,-50.0119,63.45,69,3,6.11,BR,1612739673
baghmara,23.795,86.2085,57.78,58,0,5.5,IN,1612739673
qaanaaq,77.484,-69.3632,13.87,85,71,6.49,GL,1612739674
altay,47.8667,88.1167,21.16,81,46,4.36,CN,1612739674
gornopravdinsk,60.05,69.9,1.74,91,100,12.59,RU,1612739675
eyl,7.9803,49.8164,73.74,80,1,16.02,SO,1612739675
muisne,0.6,-80.0333,82.4,83,75,3.44,EC,1612739676
san cristobal,7.7669,-72.225,84.2,51,40,13.8,VE,1612739676
edd,13.9297,41.6925,73.09,76,17,6.13,ER,1612739677
nome,64.5011,-165.4064,0,84,1,3.78,US,1612739677
umzimvubu,nan,nan,nan,nan,nan,nan,nan,nan
golovchino,50.5341,35.797,6.8,78,0,6.71,RU,1612739678
dutlwe,-23.9833,23.9,64.96,93,77,9.51,BW,1612739678
camacha,33.0833,-16.3333,60.8,94,75,14.97,PT,1612739679
birao,10.2849,22.7882,62.04,29,78,5.57,CF,1612739679
margate,51.3813,1.3862,30.99,78,100,8.99,GB,1612739403
hollins,37.3413,-79.9431,35.6,51,20,18.41,US,1612739680
abong mbang,3.9833,13.1833,71.83,65,98,3.74,CM,1612739471
guerrero negro,27.9769,-114.0611,71.73,29,0,13.94,MX,1612739681
flic en flac,-20.2742,57.3631,78.8,83,40,5.75,MU,1612739682
sola,-13.8833,167.55,87.8,70,20,5.75,VU,1612739682
correntina,-13.3433,-44.6367,68.92,93,98,2.42,BR,1612739682
college,64.8569,-147.8028,-2.99,77,20,4.61,US,1612739645
galle,6.0367,80.217,75.87,87,44,4.23,LK,1612739683
suao,nan,nan,nan,nan,nan,nan,nan,nan
santa eulalia del rio,nan,nan,nan,nan,nan,nan,nan,nan
faya,18.3851,42.4509,55.4,47,0,10.36,SA,1612739685
bredasdorp,-34.5322,20.0403,59,77,5,4.61,ZA,1612739462
